metric,unit,Sample Portfolio,Portfolio 2,Portfolio 3,benchmark
Start Balance,balance,10000.0,10000.0,10000.0,10000.0
End Balance,balance,21577.704983017655,34856.31679340535,33627.56248413343,26145.13279049405
CAGR,pct,12.227887374119728,20.598588307714614,19.95112023771508,15.507086035109907
Annualized Return,pct,12.352000933919433,20.374799618914242,19.76738095430532,15.921060517005037
Standard Deviation,pct,12.403021953147041,17.456438089232627,17.06233611283237,16.94159414125664
Best Year,pct,24.216179883023024,54.379079972879985,42.54505284616932,28.728755645953697
Worst Year,pct,-17.30655329493781,-9.956647921686724,-11.600903639079762,-18.17537371145902
Maximum Drawdown,pct,-22.24543384768388,-22.34646108036292,-20.051034139171243,-23.927175560477576
Sharpe Ratio (ex-post),ratio,0.7666176815487177,1.0042813161138362,0.9918780079345157,0.7719129267273912
Sortino Ratio,ratio,1.1983469087351963,1.7078275395426026,1.6547406173488797,1.2321285810517122
